[23:40:04.685] [INFO   ] thread main starting.
[23:40:04.725] [SEVERE ] cannot read configuration file config.properties trying from resources.
[23:40:04.734] [SEVERE ] configuration file was loaded from resources directory.
[23:40:06.711] [INFO   ] thread dealer starting.
[23:40:06.718] [INFO   ] thread dealer starting.
[23:40:06.721] [INFO   ] thread Player: 0 created.
[23:40:06.722] [INFO   ] thread Player: 1 created.
[23:40:06.754] [INFO   ] thread Player: 0 starting.
[23:40:06.754] [INFO   ] thread Player: 1 starting.
[23:40:06.888] [SEVERE ] placing card 48 in slot 2
[23:40:06.997] [SEVERE ] placing card 79 in slot 11
[23:40:07.106] [SEVERE ] placing card 21 in slot 0
[23:40:07.218] [SEVERE ] placing card 49 in slot 10
[23:40:07.329] [SEVERE ] placing card 69 in slot 5
[23:40:07.440] [SEVERE ] placing card 52 in slot 7
[23:40:07.550] [SEVERE ] placing card 60 in slot 4
[23:40:07.658] [SEVERE ] placing card 35 in slot 1
[23:40:07.767] [SEVERE ] placing card 22 in slot 8
[23:40:07.878] [SEVERE ] placing card 66 in slot 6
[23:40:07.989] [SEVERE ] placing card 34 in slot 9
[23:40:08.098] [SEVERE ] placing card 28 in slot 3
[23:40:08.099] [SEVERE ] updating countdown to 60000
[23:40:08.207] [SEVERE ] updating countdown to 59892
[23:40:08.316] [SEVERE ] updating countdown to 59783
[23:40:08.425] [SEVERE ] updating countdown to 59674
[23:40:08.535] [SEVERE ] updating countdown to 59564
[23:40:08.646] [SEVERE ] updating countdown to 59453
[23:40:08.756] [SEVERE ] updating countdown to 59343
[23:40:08.870] [SEVERE ] updating countdown to 59229
[23:40:08.981] [SEVERE ] updating countdown to 59118
[23:40:09.092] [SEVERE ] updating countdown to 59007
[23:40:09.202] [SEVERE ] updating countdown to 58897
[23:40:09.311] [SEVERE ] updating countdown to 58788
[23:40:09.418] [SEVERE ] updating countdown to 58681
[23:40:09.526] [SEVERE ] updating countdown to 58573
[23:40:09.635] [SEVERE ] updating countdown to 58464
[23:40:09.745] [SEVERE ] updating countdown to 58354
[23:40:09.854] [SEVERE ] updating countdown to 58245
[23:40:09.962] [SEVERE ] updating countdown to 58137
[23:40:10.070] [SEVERE ] updating countdown to 58029
[23:40:10.177] [SEVERE ] updating countdown to 57922
[23:40:10.288] [SEVERE ] updating countdown to 57811
[23:40:10.397] [SEVERE ] updating countdown to 57702
[23:40:10.505] [SEVERE ] updating countdown to 57594
[23:40:10.614] [SEVERE ] updating countdown to 57485
[23:40:10.723] [SEVERE ] updating countdown to 57376
[23:40:10.832] [SEVERE ] updating countdown to 57267
[23:40:10.943] [SEVERE ] updating countdown to 57156
[23:40:11.051] [SEVERE ] updating countdown to 57048
[23:40:11.162] [SEVERE ] updating countdown to 56937
[23:40:11.270] [SEVERE ] updating countdown to 56829
[23:40:11.378] [SEVERE ] updating countdown to 56721
[23:40:11.486] [SEVERE ] updating countdown to 56613
[23:40:11.596] [SEVERE ] updating countdown to 56503
[23:40:11.706] [SEVERE ] updating countdown to 56393
[23:40:11.816] [SEVERE ] updating countdown to 56283
[23:40:11.926] [SEVERE ] updating countdown to 56173
[23:40:12.036] [SEVERE ] updating countdown to 56063
[23:40:12.143] [SEVERE ] updating countdown to 55956
[23:40:12.253] [SEVERE ] updating countdown to 55846
[23:40:12.360] [SEVERE ] updating countdown to 55739
[23:40:12.470] [SEVERE ] updating countdown to 55629
[23:40:12.584] [SEVERE ] updating countdown to 55515
[23:40:12.695] [SEVERE ] updating countdown to 55404
[23:40:12.805] [SEVERE ] updating countdown to 55294
[23:40:12.915] [SEVERE ] updating countdown to 55184
[23:40:13.024] [SEVERE ] updating countdown to 55075
[23:40:13.134] [SEVERE ] updating countdown to 54965
[23:40:13.242] [SEVERE ] updating countdown to 54857
[23:40:13.350] [SEVERE ] updating countdown to 54749
[23:40:13.460] [SEVERE ] updating countdown to 54639
[23:40:13.569] [SEVERE ] updating countdown to 54530
[23:40:13.677] [SEVERE ] updating countdown to 54422
[23:40:13.785] [SEVERE ] updating countdown to 54314
[23:40:13.892] [SEVERE ] updating countdown to 54207
[23:40:14.001] [SEVERE ] updating countdown to 54098
[23:40:14.110] [SEVERE ] updating countdown to 53989
[23:40:14.221] [SEVERE ] updating countdown to 53878
[23:40:14.329] [SEVERE ] updating countdown to 53770
[23:40:14.437] [SEVERE ] updating countdown to 53662
[23:40:14.546] [SEVERE ] updating countdown to 53553
[23:40:14.655] [SEVERE ] updating countdown to 53444
[23:40:14.763] [SEVERE ] updating countdown to 53336
[23:40:14.873] [SEVERE ] updating countdown to 53226
[23:40:14.981] [SEVERE ] updating countdown to 53118
[23:40:15.091] [SEVERE ] updating countdown to 53008
[23:40:15.201] [SEVERE ] updating countdown to 52898
[23:40:15.310] [SEVERE ] updating countdown to 52789
[23:40:15.419] [SEVERE ] updating countdown to 52680
[23:40:15.530] [SEVERE ] updating countdown to 52569
[23:40:15.638] [SEVERE ] updating countdown to 52461
[23:40:15.748] [SEVERE ] updating countdown to 52351
[23:40:15.858] [SEVERE ] updating countdown to 52241
[23:40:15.968] [SEVERE ] updating countdown to 52131
[23:40:16.077] [SEVERE ] updating countdown to 52022
[23:40:16.185] [SEVERE ] updating countdown to 51914
[23:40:16.292] [SEVERE ] updating countdown to 51807
[23:40:16.400] [SEVERE ] updating countdown to 51699
[23:40:16.509] [SEVERE ] updating countdown to 51590
[23:40:16.620] [SEVERE ] updating countdown to 51479
[23:40:16.728] [SEVERE ] updating countdown to 51371
[23:40:16.835] [SEVERE ] updating countdown to 51264
[23:40:16.944] [SEVERE ] updating countdown to 51155
[23:40:17.053] [SEVERE ] updating countdown to 51046
[23:40:17.162] [SEVERE ] updating countdown to 50937
[23:40:17.271] [SEVERE ] updating countdown to 50828
[23:40:17.379] [SEVERE ] updating countdown to 50720
